12:38:20.480 ->  SD OK
12:38:20.529 ->  BREAK STOP
12:38:20.767 ->  Controller Err
12:39:10.013 ->  SD OK
12:39:10.030 ->  BREAK STOP
12:39:10.269 ->  Controller Err
12:39:36.574 ->  SD OK
12:39:36.592 ->  BREAK STOP
12:39:36.828 ->  Controller Set
12:39:38.574 ->  START
12:39:38.763 ->  Speed:0.00 km/hr 
12:39:51.131 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:51.151 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:51.240 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:51.260 ->  Battery :12.27 V
12:39:51.283 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:51.490 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:51.512 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:51.733 ->  @20/6/6 12:39:51.137 Bike UNLOCK
12:39:51.752 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:51.833 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:51.922 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:51.943 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:52.149 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:52.170 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:52.260 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:52.284 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:52.373 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:52.393 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:52.484 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:52.505 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:52.594 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:52.615 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:52.704 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:52.788 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:52.995 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
