00:00:02.00-1163 ->  SD OK~
00:00:02.00-1093 ->  BREAK STOP~
00:00:03.00-2824 ->  Controller Set~
00:00:04.00-3047 ->  START~
00:00:05.00-4998 ->  Battery :12.18 V~
00:00:05.00-4927 ->  Speed:0.00 km/hr ~
00:00:05.00-4876 ->  Battery :12.24 V~
00:00:05.00-4805 ->  Speed:0.00 km/hr ~
00:00:05.00-4756 ->  Battery :12.24 V~
00:00:05.00-4684 ->  Speed:0.00 km/hr ~
00:00:05.00-4634 ->  Battery :12.24 V~
00:00:05.00-4562 ->  Speed:0.00 km/hr ~
00:00:05.00-4513 ->  Battery :12.28 V~
00:00:05.00-4441 ->  Speed:0.00 km/hr ~
00:00:05.00-4388 ->  Battery :12.24 V~
00:00:05.00-4317 ->  Speed:0.00 km/hr ~
00:00:05.00-4267 ->  Battery :12.24 V~
00:00:05.00-4195 ->  Speed:0.00 km/hr ~
00:00:05.00-4145 ->  Battery :12.25 V~
00:00:05.00-4074 ->  Speed:0.00 km/hr ~
00:00:05.00-4023 ->  Battery :12.28 V~
00:00:06.00-5953 ->  Speed:0.00 km/hr ~
00:00:06.00-5903 ->  Battery :12.28 V~
00:00:06.00-5831 ->  Speed:0.00 km/hr ~
00:00:06.00-5781 ->  Battery :12.27 V~
00:00:06.00-5709 ->  Speed:0.00 km/hr ~
00:00:06.00-5659 ->  Battery :12.24 V~
00:00:06.00-5585 ->  Speed:0.00 km/hr ~
00:00:06.00-5535 ->  Battery :12.27 V~
00:00:06.00-5463 ->  Speed:0.00 km/hr ~
00:00:06.00-5413 ->  Battery :12.24 V~
00:00:06.00-5341 ->  Speed:0.00 km/hr ~
00:00:06.00-5292 ->  Battery :12.27 V~
00:00:06.00-5221 ->  Speed:0.00 km/hr ~
00:00:06.00-5170 ->  Battery :12.18 V~
00:00:06.00-5099 ->  Speed:0.00 km/hr ~
00:00:06.00-5049 ->  Battery :12.28 V~
00:00:07.00-6977 ->  Speed:0.00 km/hr ~
00:00:07.00-6927 ->  Battery :12.31 V~
00:00:07.00-6853 ->  Speed:0.00 km/hr ~
00:00:07.00-6803 ->  Battery :12.30 V~
00:00:07.00-6731 ->  Speed:0.00 km/hr ~
00:00:07.00-6681 ->  Battery :12.34 V~
00:00:07.00-6609 ->  Speed:0.00 km/hr ~
00:00:07.00-6559 ->  Battery :12.30 V~
00:00:07.00-6488 ->  Speed:0.00 km/hr ~
00:00:07.00-6437 ->  Battery :12.30 V~
00:00:07.00-6367 ->  Speed:0.00 km/hr ~
00:00:07.00-6316 ->  Battery :12.30 V~
00:00:07.00-6245 ->  Speed:0.00 km/hr ~
00:00:07.00-6195 ->  Battery :12.30 V~
00:00:07.00-6123 ->  Speed:0.00 km/hr ~
00:00:07.00-6071 ->  Battery :12.28 V~
00:00:08.00-7999 ->  Speed:0.00 km/hr ~
00:00:08.00-7949 ->  Battery :12.28 V~
00:00:08.00-7877 ->  Speed:0.00 km/hr ~
00:00:08.00-7827 ->  Battery :12.33 V~
00:00:08.00-7756 ->  Speed:0.00 km/hr ~
00:00:08.00-7705 ->  Battery :12.28 V~
00:00:08.00-7634 ->  Speed:0.00 km/hr ~
00:00:08.00-7584 ->  Battery :12.25 V~
00:00:08.00-7513 ->  Speed:0.00 km/hr ~
00:00:08.00-7453 ->  Battery :12.25 V~
00:00:08.00-7381 ->  Speed:0.00 km/hr ~
00:00:08.00-7303 ->  Battery :12.21 V~
00:00:08.00-7233 ->  Speed:0.00 km/hr ~
00:00:08.00-7152 ->  Battery :12.24 V~
00:00:08.00-7080 ->  Speed:0.00 km/hr ~
00:00:08.00-7001 ->  Battery :12.22 V~
00:00:09.00-8929 ->  Speed:0.00 km/hr ~
00:00:09.00-8849 ->  Battery :12.24 V~
00:00:09.00-8778 ->  Speed:0.00 km/hr ~
00:00:09.00-8697 ->  Battery :12.25 V~
00:00:09.00-8627 ->  Speed:0.00 km/hr ~
00:00:09.00-8548 ->  Battery :12.25 V~
00:00:09.00-8476 ->  Speed:0.00 km/hr ~
00:00:09.00-8395 ->  Battery :12.25 V~
00:00:09.00-8322 ->  Speed:0.00 km/hr ~
00:00:09.00-8245 ->  Battery :12.25 V~
00:00:09.00-8174 ->  Speed:0.00 km/hr ~
00:00:09.00-8093 ->  Battery :12.25 V~
00:00:09.00-8023 ->  Speed:0.00 km/hr ~
00:00:10.00-9943 ->  Battery :12.25 V~
00:00:10.00-9872 ->  Speed:0.00 km/hr ~
00:00:10.00-9791 ->  Battery :12.24 V~
00:00:10.00-9721 ->  Speed:0.00 km/hr ~
00:00:10.00-9641 ->  Battery :12.24 V~
00:00:10.00-9570 ->  Speed:0.00 km/hr ~
00:00:10.00-9489 ->  Battery :12.24 V~
00:00:10.00-9418 ->  Speed:0.00 km/hr ~
00:00:10.00-9339 ->  Battery :12.22 V~
00:00:10.00-9268 ->  Speed:0.00 km/hr ~
00:00:10.00-9188 ->  Battery :12.22 V~
00:00:10.00-9117 ->  Speed:0.00 km/hr ~
00:00:10.00-9037 ->  Battery :12.22 V~
00:00:11.00-10966 ->  Speed:0.00 km/hr ~
00:00:11.00-10886 ->  Battery :12.21 V~
00:00:11.00-10815 ->  Speed:0.00 km/hr ~
00:00:11.00-10734 ->  Battery :12.22 V~
00:00:11.00-10664 ->  Speed:0.00 km/hr ~
00:00:11.00-10584 ->  Battery :12.24 V~
00:00:11.00-10512 ->  Speed:0.00 km/hr ~
00:00:11.00-10432 ->  Battery :12.25 V~
00:00:11.00-10361 ->  Speed:0.00 km/hr ~
00:00:11.00-10282 ->  Battery :12.30 V~
00:00:11.00-10210 ->  Speed:0.00 km/hr ~
00:00:11.00-10130 ->  Battery :12.25 V~
00:00:11.00-10059 ->  Speed:0.00 km/hr ~
00:00:12.00-11980 ->  Battery :12.25 V~
00:00:12.00-11908 ->  Speed:0.00 km/hr ~
00:00:12.00-11828 ->  Battery :12.25 V~
00:00:12.00-11757 ->  Speed:0.00 km/hr ~
00:00:12.00-11678 ->  Battery :12.25 V~
00:00:12.00-11606 ->  Speed:0.00 km/hr ~
00:00:12.00-11526 ->  Battery :12.25 V~
00:00:12.00-11452 ->  Speed:0.00 km/hr ~
00:00:12.00-11376 ->  Battery :12.24 V~
00:00:12.00-11304 ->  Speed:0.00 km/hr ~
00:00:12.00-11225 ->  Battery :12.24 V~
00:00:12.00-11153 ->  Speed:0.00 km/hr ~
00:00:12.00-11074 ->  Battery :12.24 V~
00:00:12.00-11002 ->  Speed:0.00 km/hr ~
00:00:13.00-12923 ->  Battery :12.22 V~
00:00:13.00-12851 ->  Speed:0.00 km/hr ~
00:00:13.00-12771 ->  Battery :12.22 V~
00:00:13.00-12700 ->  Speed:0.00 km/hr ~
00:00:13.00-12621 ->  Battery :12.21 V~
00:00:13.00-12546 ->  Speed:0.00 km/hr ~
00:00:13.00-12469 ->  Battery :12.19 V~
00:00:13.00-12398 ->  Speed:0.00 km/hr ~
00:00:13.00-12319 ->  Battery :12.22 V~
00:00:13.00-12247 ->  Speed:0.00 km/hr ~
00:00:13.00-12167 ->  Battery :12.24 V~
00:00:13.00-12096 ->  Speed:0.00 km/hr ~
00:00:13.00-12017 ->  Battery :12.24 V~
00:00:14.00-13945 ->  Speed:0.00 km/hr ~
00:00:14.00-13865 ->  Battery :12.24 V~
00:00:14.00-13794 ->  Speed:0.00 km/hr ~
00:00:14.00-13715 ->  Battery :12.25 V~
00:00:14.00-13640 ->  Speed:0.00 km/hr ~
00:00:14.00-13562 ->  Battery :12.25 V~
00:00:14.00-13491 ->  Speed:0.00 km/hr ~
00:00:14.00-13411 ->  Battery :12.25 V~
00:00:14.00-13340 ->  Speed:0.00 km/hr ~
00:00:14.00-13260 ->  Battery :12.25 V~
00:00:14.00-13189 ->  Speed:0.00 km/hr ~
00:00:14.00-13108 ->  Battery :12.25 V~
00:00:14.00-13038 ->  Speed:0.00 km/hr ~
00:00:15.00-14958 ->  Battery :12.24 V~
00:00:15.00-14887 ->  Speed:0.00 km/hr ~
00:00:15.00-14806 ->  Battery :12.24 V~
00:00:15.00-14736 ->  Speed:0.00 km/hr ~
00:00:15.00-14656 ->  Battery :12.27 V~
00:00:15.00-14585 ->  Speed:0.00 km/hr ~
00:00:15.00-14504 ->  Battery :12.22 V~
00:00:15.00-14434 ->  Speed:0.00 km/hr ~
00:00:15.00-14354 ->  Battery :12.22 V~
00:00:15.00-14283 ->  Speed:0.00 km/hr ~
00:00:15.00-14202 ->  Battery :12.19 V~
00:00:15.00-14131 ->  Speed:0.00 km/hr ~
00:00:15.00-14052 ->  Battery :12.22 V~
00:00:16.00-15980 ->  Speed:0.00 km/hr ~
00:00:16.00-15900 ->  Battery :12.24 V~
00:00:16.00-15828 ->  Speed:0.00 km/hr ~
00:00:16.00-15750 ->  Battery :12.24 V~
00:00:16.00-15678 ->  Speed:0.00 km/hr ~
00:00:16.00-15599 ->  Battery :12.24 V~
00:00:16.00-15527 ->  Speed:0.00 km/hr ~
00:00:16.00-15448 ->  Battery :12.24 V~
00:00:16.00-15376 ->  Speed:0.00 km/hr ~
00:00:16.00-15297 ->  Battery :12.25 V~
00:00:16.00-15225 ->  Speed:0.00 km/hr ~
00:00:16.00-15145 ->  Battery :12.25 V~
00:00:16.00-15074 ->  Speed:0.00 km/hr ~
00:00:17.00-16995 ->  Battery :12.25 V~
00:00:17.00-16923 ->  Speed:0.00 km/hr ~
00:00:17.00-16843 ->  Battery :12.25 V~
00:00:17.00-16772 ->  Speed:0.00 km/hr ~
00:00:17.00-16693 ->  Battery :12.25 V~
00:00:17.00-16621 ->  Speed:0.00 km/hr ~
00:00:17.00-16541 ->  Battery :12.25 V~
00:00:17.00-16470 ->  Speed:0.00 km/hr ~
00:00:17.00-16391 ->  Battery :12.24 V~
00:00:17.00-16319 ->  Speed:0.00 km/hr ~
00:00:17.00-16239 ->  Battery :12.24 V~
00:00:17.00-16154 ->  Speed:0.00 km/hr ~
00:00:17.00-16089 ->  Battery :12.24 V~
00:00:17.00-16017 ->  Speed:0.00 km/hr ~
00:00:18.00-17937 ->  Battery :12.24 V~
00:00:18.00-17863 ->  Speed:0.00 km/hr ~
00:00:18.00-17787 ->  Battery :12.18 V~
00:00:18.00-17715 ->  Speed:0.00 km/hr ~
00:00:18.00-17636 ->  Battery :12.21 V~
00:00:18.00-17564 ->  Speed:0.00 km/hr ~
00:00:18.00-17485 ->  Battery :12.22 V~
00:00:18.00-17413 ->  Speed:0.00 km/hr ~
00:00:18.00-17334 ->  Battery :12.22 V~
00:00:18.00-17262 ->  Speed:0.00 km/hr ~
00:00:18.00-17182 ->  Battery :12.22 V~
00:00:18.00-17111 ->  Speed:0.00 km/hr ~
00:00:18.00-17032 ->  Battery :12.30 V~
00:00:19.00-18958 ->  Speed:0.00 km/hr ~
00:00:19.00-18880 ->  Battery :12.25 V~
00:00:19.00-18809 ->  Speed:0.00 km/hr ~
00:00:19.00-18730 ->  Battery :12.24 V~
00:00:19.00-18658 ->  Speed:0.00 km/hr ~
00:00:19.00-18578 ->  Battery :12.24 V~
00:00:19.00-18507 ->  Speed:0.00 km/hr ~
