00:00:04.784 ->  SD OK~
00:00:04.809 ->  BREAK STOP~
00:00:05.047 ->  Controller Set~
00:00:06.795 ->  START~
00:01:00.855 ->  Battery :0.07 V~
00:01:00.898 ->  Speed:0.77 km/hr ~
00:01:00.917 ->  ERROR OCCUR  ~
00:01:00.935 ->  BREAK STOP  ~
00:01:00.954 ->  ERROR OCCUR  ~
00:01:00.973 ->  BREAK STOP  ~
00:01:00.992 ->  ERROR OCCUR  ~
00:01:01.011 ->  BREAK STOP  ~
00:01:01.032 ->  ERROR OCCUR  ~
00:01:01.051 ->  BREAK STOP  ~
00:01:01.070 ->  ERROR OCCUR  ~
00:01:01.089 ->  BREAK STOP  ~
00:01:01.108 ->  ERROR OCCUR  ~
00:01:01.126 ->  BREAK STOP  ~
00:01:01.146 ->  ERROR OCCUR  ~
00:01:01.164 ->  BREAK STOP  ~
00:01:01.184 ->  ERROR OCCUR  ~
00:01:01.203 ->  BREAK STOP  ~
00:01:01.222 ->  ERROR OCCUR  ~
00:01:01.241 ->  BREAK STOP  ~
00:01:01.260 ->  ERROR OCCUR  ~
00:01:01.279 ->  BREAK STOP  ~
00:01:01.299 ->  ERROR OCCUR  ~
00:01:01.317 ->  BREAK STOP  ~
00:01:01.438 ->  ERROR OCCUR  ~
00:01:01.457 ->  BREAK STOP  ~
00:01:01.577 ->  ERROR OCCUR  ~
00:01:01.595 ->  BREAK STOP  ~
00:01:01.715 ->  ERROR OCCUR  ~
00:01:01.735 ->  BREAK STOP  ~
00:01:01.858 ->  ERROR OCCUR  ~
00:01:01.876 ->  BREAK STOP  ~
00:01:01.897 ->  (115,93,94,93,0.77,100,0)	BREAK STOPPED ~
00:01:02.439 ->  (144,115,94,94,0.77,100,0)	BREAK STOPPED ~
00:01:02.981 ->  (93,144,93,94,0.77,100,0)	BREAK STOPPED ~
00:01:03.522 ->  ERROR OCCUR  ~
00:01:03.540 ->  BREAK STOP  ~
00:01:03.562 ->  ERROR OCCUR  ~
00:01:03.581 ->  BREAK STOP  ~
00:01:03.600 ->  ERROR OCCUR  ~
00:01:03.619 ->  BREAK STOP  ~
00:01:03.638 ->  ERROR OCCUR  ~
00:01:03.657 ->  BREAK STOP  ~
00:01:03.676 ->  ERROR OCCUR  ~
00:01:03.695 ->  BREAK STOP  ~
00:01:03.738 ->  Speed:0.79 km/hr ~
00:01:03.757 ->  ERROR OCCUR  ~
00:01:03.776 ->  BREAK STOP  ~
00:01:03.795 ->  ERROR OCCUR  ~
00:01:03.814 ->  BREAK STOP  ~
00:01:03.833 ->  ERROR OCCUR  ~
00:01:03.852 ->  BREAK STOP  ~
00:01:03.874 ->  ERROR OCCUR  ~
00:01:03.892 ->  BREAK STOP  ~
00:01:03.912 ->  ERROR OCCUR  ~
00:01:03.930 ->  BREAK STOP  ~
00:01:03.950 ->  ERROR OCCUR  ~
00:01:03.968 ->  BREAK STOP  ~
00:01:03.988 ->  ERROR OCCUR  ~
00:01:04.006 ->  BREAK STOP  ~
00:01:04.025 ->  ERROR OCCUR  ~
00:01:04.044 ->  BREAK STOP  ~
00:01:04.063 ->  ERROR OCCUR  ~
00:01:04.083 ->  BREAK STOP  ~
00:01:04.101 ->  ERROR OCCUR  ~
00:01:04.121 ->  BREAK STOP  ~
00:01:04.165 ->  ERROR OCCUR  ~
00:01:04.183 ->  BREAK STOP  ~
00:01:04.305 ->  ERROR OCCUR  ~
00:01:04.324 ->  BREAK STOP  ~
00:01:04.445 ->  ERROR OCCUR  ~
00:01:04.464 ->  BREAK STOP  ~
00:01:04.584 ->  ERROR OCCUR  ~
00:01:04.603 ->  BREAK STOP  ~
00:01:04.726 ->  ERROR OCCUR  ~
00:01:04.744 ->  BREAK STOP  ~
00:01:04.764 ->  ERROR OCCUR  ~
00:01:04.782 ->  BREAK STOP  ~
00:01:04.901 ->  ERROR OCCUR  ~
00:01:04.920 ->  BREAK STOP  ~
00:01:05.041 ->  ERROR OCCUR  ~
00:01:05.060 ->  BREAK STOP  ~
00:01:05.179 ->  ERROR OCCUR  ~
00:01:05.199 ->  BREAK STOP  ~
00:01:05.220 ->  ERROR OCCUR  ~
00:01:05.240 ->  BREAK STOP  ~
00:01:05.359 ->  ERROR OCCUR  ~
00:01:05.378 ->  BREAK STOP  ~
00:01:05.497 ->  ERROR OCCUR  ~
00:01:05.516 ->  BREAK STOP  ~
00:01:05.637 ->  ERROR OCCUR  ~
00:01:05.656 ->  BREAK STOP  ~
00:01:05.784 ->  ERROR OCCUR  ~
00:01:05.803 ->  BREAK STOP  ~
00:01:05.822 ->  ERROR OCCUR  ~
00:01:05.841 ->  BREAK STOP  ~
00:01:05.960 ->  ERROR OCCUR  ~
00:01:05.979 ->  BREAK STOP  ~
00:01:06.098 ->  ERROR OCCUR  ~
00:01:06.117 ->  BREAK STOP  ~
00:01:06.240 ->  ERROR OCCUR  ~
00:01:06.259 ->  BREAK STOP  ~
00:01:06.387 ->  ERROR OCCUR  ~
00:01:06.405 ->  BREAK STOP  ~
00:01:06.425 ->  ERROR OCCUR  ~
00:01:06.443 ->  BREAK STOP  ~
00:01:06.562 ->  ERROR OCCUR  ~
00:01:06.581 ->  BREAK STOP  ~
00:01:06.700 ->  ERROR OCCUR  ~
00:01:06.720 ->  BREAK STOP  ~
00:01:06.842 ->  ERROR OCCUR  ~
00:01:06.861 ->  BREAK STOP  ~
00:01:06.879 ->  ERROR OCCUR  ~
00:01:06.899 ->  BREAK STOP  ~
00:01:07.018 ->  ERROR OCCUR  ~
00:01:07.039 ->  BREAK STOP  ~
00:01:07.159 ->  ERROR OCCUR  ~
00:01:07.177 ->  BREAK STOP  ~
00:01:07.297 ->  ERROR OCCUR  ~
00:01:07.317 ->  BREAK STOP  ~
00:01:07.335 ->  ERROR OCCUR  ~
00:01:07.354 ->  BREAK STOP  ~
00:01:07.474 ->  ERROR OCCUR  ~
00:01:07.494 ->  BREAK STOP  ~
00:01:07.628 ->  ERROR OCCUR  ~
00:01:07.646 ->  BREAK STOP  ~
00:01:07.767 ->  ERROR OCCUR  ~
00:01:07.786 ->  BREAK STOP  ~
00:01:07.904 ->  ERROR OCCUR  ~
00:01:07.923 ->  BREAK STOP  ~
00:01:08.050 ->  ERROR OCCUR  ~
00:01:08.074 ->  BREAK STOP  ~
00:01:08.201 ->  ERROR OCCUR  ~
00:01:08.221 ->  BREAK STOP  ~
00:01:08.240 ->  ERROR OCCUR  ~
00:01:08.259 ->  BREAK STOP  ~
00:01:08.378 ->  ERROR OCCUR  ~
00:01:08.398 ->  BREAK STOP  ~
00:01:08.518 ->  ERROR OCCUR  ~
00:01:08.537 ->  BREAK STOP  ~
00:01:08.657 ->  ERROR OCCUR  ~
00:01:08.675 ->  BREAK STOP  ~
00:01:08.695 ->  ERROR OCCUR  ~
00:01:08.713 ->  BREAK STOP  ~
00:01:08.833 ->  ERROR OCCUR  ~
00:01:08.853 ->  BREAK STOP  ~
00:01:08.973 ->  ERROR OCCUR  ~
00:01:08.994 ->  BREAK STOP  ~
00:01:09.114 ->  ERROR OCCUR  ~
00:01:09.133 ->  BREAK STOP  ~
00:01:09.259 ->  ERROR OCCUR  ~
00:01:09.278 ->  BREAK STOP  ~
00:01:09.296 ->  ERROR OCCUR  ~
00:01:09.315 ->  BREAK STOP  ~
00:01:09.435 ->  ERROR OCCUR  ~
00:01:09.455 ->  BREAK STOP  ~
00:01:09.576 ->  ERROR OCCUR  ~
00:01:09.594 ->  BREAK STOP  ~
00:01:09.713 ->  ERROR OCCUR  ~
00:01:09.732 ->  BREAK STOP  ~
00:01:09.751 ->  ERROR OCCUR  ~
00:01:09.770 ->  BREAK STOP  ~
00:01:09.889 ->  ERROR OCCUR  ~
00:01:09.910 ->  BREAK STOP  ~
00:01:10.030 ->  ERROR OCCUR  ~
00:01:10.050 ->  BREAK STOP  ~
00:01:10.170 ->  ERROR OCCUR  ~
00:01:10.189 ->  BREAK STOP  ~
00:01:10.315 ->  ERROR OCCUR  ~
00:01:10.334 ->  BREAK STOP  ~
00:01:10.353 ->  ERROR OCCUR  ~
00:01:10.372 ->  BREAK STOP  ~
00:01:10.491 ->  ERROR OCCUR  ~
00:01:10.510 ->  BREAK STOP  ~
00:01:10.630 ->  ERROR OCCUR  ~
00:01:10.650 ->  BREAK STOP  ~
00:01:10.771 ->  ERROR OCCUR  ~
00:01:10.789 ->  BREAK STOP  ~
00:01:10.919 ->  ERROR OCCUR  ~
00:01:10.938 ->  BREAK STOP  ~
00:01:10.958 ->  ERROR OCCUR  ~
00:01:10.976 ->  BREAK STOP  ~
00:01:11.096 ->  ERROR OCCUR  ~
00:01:11.116 ->  BREAK STOP  ~
00:01:11.235 ->  ERROR OCCUR  ~
00:01:11.255 ->  BREAK STOP  ~
00:01:11.376 ->  ERROR OCCUR  ~
00:01:11.394 ->  BREAK STOP  ~
00:01:11.413 ->  ERROR OCCUR  ~
00:01:11.432 ->  BREAK STOP  ~
00:01:11.551 ->  ERROR OCCUR  ~
00:01:11.570 ->  BREAK STOP  ~
00:01:11.691 ->  ERROR OCCUR  ~
00:01:11.710 ->  BREAK STOP  ~
00:01:11.831 ->  ERROR OCCUR  ~
00:01:11.851 ->  BREAK STOP  ~
00:01:11.977 ->  ERROR OCCUR  ~
00:01:11.995 ->  BREAK STOP  ~
00:01:12.014 ->  ERROR OCCUR  ~
00:01:12.033 ->  BREAK STOP  ~
00:01:12.152 ->  ERROR OCCUR  ~
00:01:12.171 ->  BREAK STOP  ~
00:01:12.292 ->  ERROR OCCUR  ~
00:01:12.311 ->  BREAK STOP  ~
00:01:12.430 ->  ERROR OCCUR  ~
00:01:12.450 ->  BREAK STOP  ~
00:01:12.468 ->  ERROR OCCUR  ~
00:01:12.488 ->  BREAK STOP  ~
00:01:12.608 ->  ERROR OCCUR  ~
00:01:12.627 ->  BREAK STOP  ~
00:01:12.748 ->  ERROR OCCUR  ~
00:01:12.767 ->  BREAK STOP  ~
00:01:12.888 ->  ERROR OCCUR  ~
00:01:12.907 ->  BREAK STOP  ~
00:01:13.034 ->  ERROR OCCUR  ~
00:01:13.053 ->  BREAK STOP  ~
00:01:13.071 ->  ERROR OCCUR  ~
00:01:13.091 ->  BREAK STOP  ~
00:01:13.211 ->  ERROR OCCUR  ~
00:01:13.230 ->  BREAK STOP  ~
00:01:13.349 ->  ERROR OCCUR  ~
00:01:13.368 ->  BREAK STOP  ~
00:01:13.488 ->  ERROR OCCUR  ~
00:01:13.507 ->  BREAK STOP  ~
00:01:13.525 ->  ERROR OCCUR  ~
00:01:13.545 ->  BREAK STOP  ~
00:01:13.666 ->  ERROR OCCUR  ~
00:01:13.685 ->  BREAK STOP  ~
00:01:13.806 ->  ERROR OCCUR  ~
00:01:13.824 ->  BREAK STOP  ~
00:01:13.943 ->  ERROR OCCUR  ~
00:01:13.962 ->  BREAK STOP  ~
00:01:13.981 ->  ERROR OCCUR  ~
00:01:14.00 ->  BREAK STOP  ~
00:01:14.118 ->  ERROR OCCUR  ~
00:01:14.137 ->  BREAK STOP  ~
00:01:14.256 ->  ERROR OCCUR  ~
00:01:14.275 ->  BREAK STOP  ~
00:01:14.395 ->  ERROR OCCUR  ~
00:01:14.414 ->  BREAK STOP  ~
00:01:14.432 ->  ERROR OCCUR  ~
00:01:14.454 ->  BREAK STOP  ~
00:01:14.574 ->  ERROR OCCUR  ~
00:01:14.592 ->  BREAK STOP  ~
00:01:14.712 ->  ERROR OCCUR  ~
00:01:14.730 ->  BREAK STOP  ~
00:01:14.850 ->  ERROR OCCUR  ~
00:01:14.869 ->  BREAK STOP  ~
00:01:14.998 ->  ERROR OCCUR  ~
00:01:15.016 ->  BREAK STOP  ~
00:01:15.034 ->  ERROR OCCUR  ~
00:01:15.053 ->  BREAK STOP  ~
00:01:15.173 ->  ERROR OCCUR  ~
00:01:15.191 ->  BREAK STOP  ~
00:01:15.311 ->  ERROR OCCUR  ~
00:01:15.329 ->  BREAK STOP  ~
00:01:15.451 ->  ERROR OCCUR  ~
00:01:15.473 ->  BREAK STOP  ~
00:01:15.602 ->  ERROR OCCUR  ~
00:01:15.620 ->  BREAK STOP  ~
00:01:15.640 ->  ERROR OCCUR  ~
00:01:15.658 ->  BREAK STOP  ~
00:01:15.777 ->  ERROR OCCUR  ~
00:01:15.796 ->  BREAK STOP  ~
00:01:15.917 ->  ERROR OCCUR  ~
