18:00:12.00-11174 ->  Speed:0.00 km/hr ~
18:00:12.00-11095 ->  Battery :12.30 V~
18:00:12.00-11023 ->  Speed:0.00 km/hr ~
18:00:13.00-12943 ->  Battery :12.25 V~
18:00:13.00-12872 ->  Speed:0.00 km/hr ~
18:00:13.00-12793 ->  Battery :12.31 V~
18:00:13.00-12721 ->  Speed:0.00 km/hr ~
18:00:13.00-12641 ->  Battery :12.28 V~
18:00:13.00-12567 ->  Speed:0.00 km/hr ~
18:00:13.00-12491 ->  Battery :12.34 V~
18:00:13.00-12419 ->  Speed:0.00 km/hr ~
18:00:13.00-12339 ->  Battery :12.30 V~
18:00:13.00-12267 ->  Speed:0.00 km/hr ~
18:00:13.00-12189 ->  Battery :12.30 V~
18:00:13.00-12117 ->  Speed:0.00 km/hr ~
18:00:13.00-12037 ->  Battery :12.27 V~
18:00:14.00-13965 ->  Speed:0.00 km/hr ~
18:00:14.00-13886 ->  Battery :12.34 V~
18:00:14.00-13814 ->  Speed:0.00 km/hr ~
18:00:14.00-13734 ->  Battery :12.28 V~
18:00:14.00-13660 ->  Speed:0.00 km/hr ~
18:00:14.00-13584 ->  Battery :12.28 V~
18:00:14.00-13512 ->  Speed:0.00 km/hr ~
18:00:14.00-13401 ->  Battery :12.28 V~
18:00:14.00-13329 ->  Speed:0.00 km/hr ~
18:00:14.00-13218 ->  Battery :12.34 V~
18:00:14.00-13146 ->  Speed:0.00 km/hr ~
18:00:14.00-13036 ->  Battery :12.34 V~
18:00:15.00-14963 ->  Speed:0.00 km/hr ~
18:00:15.00-14852 ->  Battery :12.30 V~
18:00:15.00-14781 ->  Speed:0.00 km/hr ~
18:00:15.00-14670 ->  Battery :12.30 V~
18:00:15.00-14599 ->  Speed:0.00 km/hr ~
18:00:15.00-14485 ->  Battery :12.33 V~
18:00:15.00-14413 ->  Speed:0.00 km/hr ~
18:00:15.00-14302 ->  Battery :12.33 V~
18:00:15.00-14230 ->  Speed:0.00 km/hr ~
18:00:15.00-14118 ->  Battery :12.27 V~
18:00:15.00-14047 ->  Speed:0.00 km/hr ~
18:00:16.00-15934 ->  Battery :12.34 V~
18:00:16.00-15862 ->  Speed:0.00 km/hr ~
18:00:16.00-15751 ->  Battery :12.33 V~
18:00:16.00-15679 ->  Speed:0.00 km/hr ~
18:00:16.00-15567 ->  Battery :12.33 V~
18:00:16.00-15495 ->  Speed:0.00 km/hr ~
18:00:16.00-15384 ->  (110,93,103,93,30.00,100,0)	FORWARD     93　94　95　96　97　98　99　100　101　102　103　~
18:00:16.00-15334 ->  Battery :12.34 V~
18:00:16.00-15262 ->  Speed:0.00 km/hr ~
18:00:16.00-15178 ->  (93,110,93,103,30.00,100,0)	BREAK STOPPING ~
18:00:16.00-15118 ->  Battery :12.30 V~
18:00:16.00-15046 ->  Speed:0.00 km/hr ~
18:00:17.00-16995 ->  Battery :12.33 V~
18:00:17.00-16923 ->  Speed:0.00 km/hr ~
18:00:17.00-16872 ->  Battery :12.33 V~
18:00:17.00-16800 ->  Speed:0.00 km/hr ~
18:00:17.00-16747 ->  Battery :12.33 V~
18:00:17.00-16675 ->  Speed:0.00 km/hr ~
18:00:17.00-16625 ->  Battery :12.33 V~
18:00:17.00-16554 ->  Speed:0.00 km/hr ~
18:00:17.00-16502 ->  Battery :12.30 V~
18:00:17.00-16431 ->  Speed:0.00 km/hr ~
18:00:17.00-16380 ->  Battery :12.28 V~
18:00:17.00-16308 ->  Speed:0.00 km/hr ~
18:00:17.00-16257 ->  Battery :12.31 V~
18:00:17.00-16185 ->  Speed:0.00 km/hr ~
18:00:17.00-16135 ->  Battery :12.33 V~
18:00:17.00-16063 ->  Speed:0.00 km/hr ~
18:00:17.00-16010 ->  Battery :12.28 V~
18:00:18.00-17938 ->  Speed:0.00 km/hr ~
18:00:18.00-17888 ->  Battery :12.34 V~
18:00:18.00-17816 ->  Speed:0.00 km/hr ~
18:00:18.00-17765 ->  Battery :12.33 V~
18:00:18.00-17693 ->  Speed:0.00 km/hr ~
18:00:18.00-17643 ->  Battery :12.33 V~
18:00:18.00-17572 ->  Speed:0.00 km/hr ~
18:00:18.00-17520 ->  Battery :12.33 V~
18:00:18.00-17449 ->  Speed:0.00 km/hr ~
18:00:18.00-17399 ->  Battery :12.33 V~
18:00:18.00-17327 ->  Speed:0.00 km/hr ~
18:00:18.00-17274 ->  Battery :12.37 V~
18:00:18.00-17202 ->  Speed:0.00 km/hr ~
18:00:18.00-17152 ->  Battery :12.34 V~
18:00:18.00-17080 ->  Speed:0.00 km/hr ~
18:00:18.00-17029 ->  Battery :12.25 V~
18:00:19.00-18957 ->  Speed:0.00 km/hr ~
18:00:19.00-18901 ->  Battery :12.34 V~
18:00:19.00-18830 ->  Speed:0.00 km/hr ~
18:00:19.00-18750 ->  Battery :12.33 V~
18:00:19.00-18679 ->  Speed:0.00 km/hr ~
18:00:19.00-18626 ->  (105,93,93,93,0.00,100,0)	BREAK STOPPED ~
18:00:19.00-18566 ->  LOCK~
18:00:19.00-18514 ->  Battery :12.25 V~
18:00:19.00-18442 ->  Speed:0.00 km/hr ~
18:00:19.00-18389 ->  (145,105,93,93,30.00,100,0)	BREAK STOPPED ~
18:00:19.00-18329 ->  LOCK~
18:00:19.00-18279 ->  Battery :12.30 V~
18:00:19.00-18208 ->  Speed:0.00 km/hr ~
18:00:19.00-18156 ->  Battery :12.33 V~
18:00:19.00-18085 ->  Speed:0.00 km/hr ~
18:00:19.00-18035 ->  Battery :12.28 V~
18:00:20.00-19963 ->  Speed:0.00 km/hr ~
18:00:20.00-19910 ->  (116,145,93,93,30.00,100,0)	BREAK STOPPED ~
18:00:20.00-19849 ->  LOCK~
18:00:20.00-19797 ->  Battery :12.33 V~
18:00:20.00-19725 ->  Speed:0.00 km/hr ~
18:00:20.00-19673 ->  (93,116,93,93,30.00,100,0)	BREAK STOPPED ~
18:00:20.00-19613 ->  LOCK~
18:00:20.00-19562 ->  Battery :12.31 V~
18:00:20.00-19491 ->  Speed:0.00 km/hr ~
18:00:20.00-19440 ->  Battery :12.34 V~
18:00:20.00-19368 ->  Speed:0.00 km/hr ~
18:00:20.00-19318 ->  Battery :12.34 V~
18:00:20.00-19246 ->  Speed:0.00 km/hr ~
18:00:20.00-19195 ->  Battery :12.31 V~
18:00:20.00-19123 ->  Speed:0.00 km/hr ~
18:00:20.00-19070 ->  Battery :12.33 V~
18:00:21.00-20998 ->  Speed:0.00 km/hr ~
18:00:21.00-20947 ->  Battery :12.37 V~
18:00:21.00-20875 ->  Speed:0.00 km/hr ~
18:00:21.00-20825 ->  Battery :12.33 V~
18:00:21.00-20754 ->  Speed:0.00 km/hr ~
18:00:21.00-20702 ->  Battery :12.36 V~
18:00:21.00-20631 ->  Speed:0.00 km/hr ~
18:00:21.00-20580 ->  Battery :12.34 V~
18:00:21.00-20509 ->  Speed:0.00 km/hr ~
18:00:21.00-20458 ->  Battery :12.21 V~
18:00:21.00-20386 ->  Speed:0.00 km/hr ~
18:00:21.00-20333 ->  Battery :12.36 V~
18:00:21.00-20261 ->  Speed:0.00 km/hr ~
18:00:21.00-20182 ->  Battery :12.33 V~
18:00:21.00-20110 ->  Speed:0.00 km/hr ~
18:00:21.00-20032 ->  Battery :12.27 V~
18:00:22.00-21960 ->  Speed:0.00 km/hr ~
18:00:22.00-21881 ->  Battery :12.28 V~
18:00:22.00-21809 ->  Speed:0.00 km/hr ~
18:00:22.00-21596 ->  Battery :12.27 V~
18:00:22.00-21525 ->  Speed:0.00 km/hr ~
18:00:22.00-21414 ->  Battery :12.28 V~
18:00:22.00-21342 ->  Speed:0.00 km/hr ~
18:00:22.00-21231 ->  Battery :12.33 V~
18:00:22.00-21156 ->  Speed:0.00 km/hr ~
18:00:22.00-21045 ->  Battery :12.25 V~
18:00:23.00-22974 ->  Speed:0.00 km/hr ~
18:00:23.00-22863 ->  Battery :12.30 V~
18:00:23.00-22791 ->  Speed:0.00 km/hr ~
18:00:23.00-22680 ->  Battery :12.31 V~
18:00:23.00-22608 ->  Speed:0.00 km/hr ~
18:00:23.00-22498 ->  Battery :12.27 V~
18:00:23.00-22426 ->  Speed:0.00 km/hr ~
18:00:23.00-22313 ->  Battery :12.34 V~
18:00:23.00-22242 ->  Speed:0.00 km/hr ~
18:00:23.00-22130 ->  Battery :12.33 V~
18:00:23.00-22055 ->  Speed:0.00 km/hr ~
18:00:24.00-23944 ->  Battery :12.25 V~
18:00:24.00-23872 ->  Speed:0.00 km/hr ~
18:00:24.00-23759 ->  Battery :12.34 V~
18:00:24.00-23688 ->  Speed:0.00 km/hr ~
18:00:24.00-23576 ->  Battery :12.33 V~
18:00:24.00-23504 ->  Speed:0.00 km/hr ~
18:00:24.00-23392 ->  Battery :12.30 V~
18:00:24.00-23320 ->  Speed:0.00 km/hr ~
18:00:24.00-23208 ->  Battery :12.34 V~
18:00:24.00-23137 ->  Speed:0.00 km/hr ~
18:00:24.00-23024 ->  Battery :12.24 V~
18:00:25.00-24950 ->  Speed:0.00 km/hr ~
18:00:25.00-24838 ->  Battery :12.28 V~
18:00:25.00-24766 ->  Speed:0.00 km/hr ~
18:00:25.00-24654 ->  Battery :12.33 V~
18:00:25.00-24583 ->  Speed:0.00 km/hr ~
18:00:25.00-24471 ->  Battery :12.31 V~
18:00:25.00-24399 ->  Speed:0.00 km/hr ~
18:00:25.00-24287 ->  Battery :12.37 V~
18:00:25.00-24215 ->  Speed:0.00 km/hr ~
18:00:25.00-24104 ->  Battery :12.31 V~
18:00:25.00-24032 ->  Speed:0.00 km/hr ~
18:00:26.00-25920 ->  Battery :12.24 V~
18:00:26.00-25849 ->  Speed:0.00 km/hr ~
18:00:26.00-25734 ->  Battery :12.33 V~
18:00:26.00-25662 ->  Speed:0.00 km/hr ~
18:00:26.00-25487 ->  (134,93,114,93,0.00,100,0)	FORWARD     93　94　95　96　97　98　99　100　101　102　103　104　105　106　107　108　109　110　111　112　113　114　~
18:00:26.00-25428 ->  LOCK~
18:00:26.00-25378 ->  Battery :12.31 V~
18:00:26.00-25306 ->  Speed:0.00 km/hr ~
18:00:26.00-25222 ->  (93,134,93,114,30.00,100,0)	BREAK STOPPING ~
18:00:26.00-25162 ->  LOCK~
18:00:26.00-25113 ->  Battery :12.27 V~
18:00:26.00-25043 ->  Speed:0.00 km/hr ~
18:00:27.00-26992 ->  Battery :12.31 V~
18:00:27.00-26921 ->  Speed:0.00 km/hr ~
18:00:27.00-26870 ->  Battery :12.19 V~
18:00:27.00-26798 ->  Speed:0.00 km/hr ~
18:00:27.00-26747 ->  Battery :12.28 V~
18:00:27.00-26675 ->  Speed:0.00 km/hr ~
18:00:27.00-26625 ->  Battery :12.34 V~
18:00:27.00-26553 ->  Speed:0.00 km/hr ~
18:00:27.00-26502 ->  Battery :12.31 V~
18:00:27.00-26430 ->  Speed:0.00 km/hr ~
18:00:27.00-26380 ->  Battery :12.31 V~
18:00:27.00-26305 ->  Speed:0.00 km/hr ~
18:00:27.00-26254 ->  Battery :12.31 V~
18:00:27.00-26183 ->  Speed:0.00 km/hr ~
18:00:27.00-26132 ->  Battery :12.34 V~
18:00:27.00-26061 ->  Speed:0.00 km/hr ~
18:00:27.00-26009 ->  Battery :12.37 V~
18:00:28.00-27938 ->  Speed:0.00 km/hr ~
18:00:28.00-27888 ->  Battery :12.34 V~
18:00:28.00-27816 ->  Speed:0.00 km/hr ~
18:00:28.00-27765 ->  Battery :12.36 V~
18:00:28.00-27693 ->  Speed:0.00 km/hr ~
18:00:28.00-27643 ->  Battery :12.31 V~
18:00:28.00-27568 ->  Speed:0.00 km/hr ~
18:00:28.00-27517 ->  Battery :12.31 V~
18:00:28.00-27445 ->  Speed:0.00 km/hr ~
